Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,Yorum İçeriği (Tam Metin - Türkçe),Olumlu/Olumsuz/Nötr
22,Pegasus,Roving06514000139 (2),2,5,Thank you,Kayseri - İstanbul,Yurt İçi,Aralık 2024,11 Ocak 2025,Yillardir her zaman zamanında rotar gecikme yasadigini binde bir denk gelmisimdir ve uygun fiyatli genelde teşekkürler pegasus,Olumlu
23,Pegasus,Melike T,3,5,Pegasus müşteri memnuniyeti,Bodrum - Ankara,Yurt İçi,Temmuz 2024,27 Temmuz 2024,Pegasus'un harika bir firma olduğunu bu uçuşumda diğer firma çalışanlarının ilgisizliğini gördüğümde tekrar teyit ettim. Ankarada valizim başka bir firma yolcusu ile karıştı. Firmanız çalışanı Oğuzhan İsen beyefendiye ilgisinden dolayı çok teşekkür ediyorum.,Olumlu
24,Pegasus,Haydar S,1,1,sürekli gecikmeli kalkıyor,Edremit - İstanbul,Yurt İçi,Temmuz 2024,14 Temmuz 2024,iç veya dış hatlar ne zaman uçsam %90 çok gecikmeli kalkıyor. Bir gün gelecek uçacak yolcu bulamayacaklar. O gün gelirse hiç üzülmem,Olumsuz
25,Pegasus,Min S,1,1,Rezalet,İstanbul - Antalya,Yurt İçi,Haziran 2024,12 Haziran 2024,"Pegasus Hava Yolları neden hala izin veriliyor bunlara. 12.06.2024 uçak biletim İstanbul-Antalya için saat 08:10 kalkış ve iniş 09:30'du. Bizi İstanbul'dan Antalya'ya götürecek uçak bir saat gecikme ile kalktı (olabilir, rötar Pegasus'tan aldığımız zaman zaten bu aksaklıklara bile bile alıyoruz. Yıllardır herkes bu duruma alıştı). Neyse, 30 dakika havada gezdi, sonra yine İstanbul'da indi ve bizi başka bir uçağa taşıdılar. Pardon, sebep ne? Belirsiz. Şu an saat 11:29, yeni uçakta oturuyoruz ve hala kalkmadı, kimse bir şey açıklamıyor. Gerçekten çok kötü bir durum. Yazıklar olsun. Şuna saat 13:05 geçiyor ve her hangi bir dönüş yok ,Pegasus sayfasında yazılan müşteri hizmetleri numarası, aradık Pegasus bize ait değil dedi be kapattı.",Olumsuz
26,Pegasus,Leyli A,1,5,Çalışanlarına,İstanbul - Konya,Yurt İçi,Nisan 2024,11 Nisan 2024,Tarih 11 nisan istanbul(sav)-konya saat 19:00 20:00 uçaktaki görevli kumral beyefendiye teşekkür ederim güler yüzlü davrandığı için..),Olumlu
27,Pegasus,Nilsu bagiguzel,19,5,Bahadır Atakan ve Ekibine kocaman sevgiler,İstanbul - Antalya,Yurt İçi,Ekim 2023,3 Kasım 2023,"Merhabalar öncelikle 26-10-2023 tarihinde PC4311 Seferli 11:20 uçağı ile seyahat ettik. Kabin ekibi amiri Bahadır Atakan Bey'e buradan teşekkürlerimi iletmek istiyorum. Kendisi sevgi dolu , inanılmaz güler yüzlü, ve gerçekten çok çok profesyonel. Burdan tüm kalbimle teşekkür ediyorum panikatak yolcusu olarak neşesi ve profesyonelliği ile bizleri gülümsetti.",Olumlu
28,Pegasus,giz s,40,5,Yenilenmiş filo,İstanbul - İzmir,Yurt İçi,Ekim 2023,23 Ekim 2023,"Uçaklar yenilenmiş ve temiz, koltuk aralıkları inanılmaz dar. 1 saatten fazla yolculuklar için uygun değil. Yeme içmenin paralı olması mantıklı fakat suyun paralı verilmesi hiç anlayamadığım bir durum.",Nötr
29,Pegasus,Mehmet A,1,1,Uşuş esnasında kırılan valizler,Diyarbakır - İstanbul,Yurt İçi,Haziran 2023,24 Ağustos 2023,Hayatımda bu kadar ilgisiz bu kadar saçma hava yolu görmedim valizim uçuş esnasında kırılmış yetkiliye sordum bir kaç form doldurdular 3 gün sonra gelen yanıta bakarmısınız ufak çatlak ufak delik deyip özür dilemekle yetindiler yazıklar olsun size,Olumsuz
30,Pegasus,Filiz D,1,1,Aşırı rötar nedeniyle aktarma treni kaçırıldı,İstanbul - İzmir,Yurt İçi,Ağustos 2023,12 Ağustos 2023,12 Ağustos 2023 tarihinde PC2194 sefer numaralı uçuşun normal kalkış saati 13:00 olmasına rağmen uçak16:00 da kalktı . Aşırı rötar nedeniyle aktarma yapacağım treni kaçırdım ve karşımda muhattap olarak hiçbir yetkili bulamadım.Pegasus hava yolları uğradığım maddi manevi zararı telafi etmelidir.Çünkü 13:00 da kalkması gereken uçak defalarca rötar yaparak 16:00 da kalktı.Karşımızda bize açıklama yapacak hiç bir personel bulamadık.Aktarma yapacağım treni kaçırdım ve şu an eve nasıl gideceğimi düşünüyorum.Pegasus hava yollarından cevap bekliyorum. Aşağıda 2 fotoğraf yüklü son rötar uyarısında 15:20 dedikleri uçak pistten 16:00 da kalktı.toplamda 4 kez rötar yaptı.maddi ve manevi zararımın karşılanmasını talep ediyorum.,Olumsuz
31,Pegasus,Özgür pazar,1,1,Pegasus Antalya çalışan personelin hakareti,Antalya - İstanbul,Yurt İçi,Haziran 2023,21 Haziran 2023,Antalya Pegasus bagaj teslim check-in bölümünde çalışan ismini bilmediğim ve ismini sormama rağmen söylemeyen bayan çalışan hakkında çok çirkin bir şekilde mağdur olduk. Genç ve tecrübesiz bir kişiyi verilen yetkiyi kendi egoları için keyfine göre kullanıyor çok asabi çok agresif 21 Haziran çarşamba sabah 10 kamera kayıtlarını kontrol edin lütfen birde hakaret ediyor boş konuşuyorsunuz diyor hem para verip hep hakaret işitmek zorunda değiliz. Mağduriyetimiz sadece hakaretlerle kalmadı tabi burda uzun uzun yazmak istemedim. İlgilenir önemser dinlemek isterseniz arayabilirsiniz. Pnr: ERV14A Özgür Pazar 0534 794 96 49,Olumsuz
32,Pegasus,Derya D,1,1,Uçak saatlerinin gecikmesi,İstanbul - Antalya,Yurt İçi,Mayıs 2023,27 Mayıs 2023,Mayıs 2023 ayında dört defa Pegasus ile Antalya İstanbul aralarında ucusum vardı.yalniz hava şartları ile alakalı olduğunu düşünmüyorum bu altı ucusumda İstanbul ucusumda dört saat havalimaninda bekletildik ve hiç bir açıklama yapılmadı.bugun yani 27 Mayıs 2023 saat 21:20 uçağım var.suan hala İstanbul havalimanında bekliyorum böyle bir sorumsuzluk olamaz.kış olsa hava şartları dicem fakat şuan bu sorumsuzluk.pegasusu kimseye onermiyorum,Olumsuz
33,Pegasus,Dilan B,1,5,Antalya istanbul uçağı hk. (Ozan Bey),Antalya - İstanbul,Yurt İçi,Mayıs 2023,13 Mayıs 2023,Kabin memuru ozan bey ilgili ve yardımlarından dolayı çok teşekkür ederim korkumu yenmem konusunda çok destek oldu çok teşekkürler her zaman tercihim Pegasus,Olumlu
34,Pegasus,Selçuk T,1,1,Kabin amiri,Antalya - İstanbul,Yurt İçi,Şubat 2023,17 Şubat 2023,Kabin Amiri görevini yapmadı. Antalya'dan İstanbul'a giderken (PC2005 10 Şubat 2023) inişte yolculardan en az yirmisi kemer ikaz ışıkları sönmeden iniş anında kemerlerini söktü ve ayağa kalkıp bagajlarını almaya başladılar. Kabin amirine şikayette bulunduğumda yalnızca üç kere anons yapabildiklerini ve onun haricinde Pegasus şirketinin başka prosedürü olmadığını söyledi. Ayrıca pilotta bunu teyit etti. Ve herhangi bir tutanak tutma prosedürü olmadığını söylediler. 17 Şubat 2023 (PC2010 Sabiha Gökçen -Antalya seferi uçakla uçuşumda uçağa binerken kabin amirine bu geçmiş olayı söyledim ve tutanak tutma prosedürü olmadığını söyledi. Bende bundan dolayı uçak inerken ayağa kalktım. Bana yerime dönmemi söylediler ve ikaz ettiler. Bende yerme döndüm. Uçak durduktan sonra bulunduğum koltuğa polis geldi ve polis eşliğinde uçaktan indirildim. Ve kabin amiri kurallara uymadığım için tutanak tuttu. Ve polisler tarafından bir saatten fazla tutuldum. Bunların hepsi video ile kayıtlı. Şimdi merak ediyorum hangi kabin amirinin söylediği doğru. Ve bana tutanak tutulamayacağını söyleyen kabin amiri polis çağırıp tutanak tuttu. Herhalde Pegasus'ta yetkili bir kişi bu konuyla ilgili bir açıklama yapar.,Olumsuz
35,Pegasus,Onur S,1,1,Ölüm uçuşu,İstanbul - Antalya,Yurt İçi,Aralık 2022,14 Aralık 2022,Saat 21:50 uçuşundaydık kalkışı geç yaptık aşırı hızlı bir şekilde uçağı insanlık dışı sallıyarak götüren bir acemi pilot eşliğinde antalya ya ulaştık ancak bizden önce ve bizden sonra ki bütün uçakların indiği piste çok hızlı yanaştık ve çok yakın bir mesafeden oyun oynarcasına direk yukarı doğru burnu kaldırıp mükemmel bir hızla aya kadar çıktık antalya üstünde inmek için dolaşırken korkuteline kadar gidip geri geldik ve en son sabihaya geri döndük sabihaya inerkende çok hızlıydık ve motor zorlayarak ancak durabildik pilot çok acemi açıklama yaptı dikkat edin açıklamalar demiyorum çünkü bilgi sıfır dı geri döndük konaklama adı altında bir otele yolladılar 90 dakika oda alabilmek için sıra bekledik demek istediğin şu hayatınızı seviyorsanız pegasusdan uzak durum,Olumsuz
